login-login,name-name,first-first,last-last,prefix-prefix,domain-domain,login-name,name-login,first-last,last-first,login-prefix,prefix-login,domref-name,name-domref,domref-login,login-domref,first-freq-score,last-freq-score,prefix-freq-score,domain-freq-score,label
,1.0,1.0,1.0,1.0,1.0,,,0.14,0.14,,,,,,,1.660964047443681,1.660964047443681,1.0,0.17992896226062674,1.0
,1.0,1.0,1.0,0.12,0.18,,,0.14,0.14,,,0.58,0.25,,,0.8304820237218405,1.660964047443681,3.321928094887362,2.095903274289385,1.0
,0.19,0.0,0.25,0.2,0.44,,,0.14,0.12,,,0.0,,,,1.0,1.0,1.0,0.21626426139021224,0.0
,0.15,0.0,0.0,0.0,1.0,,,0.21,0.0,,,,,,,3.321928094887362,1.0,1.0,0.17992896226062674,0.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,,,,,1.0479516371446924,0.6425486044692343,1.0,0.17992896226062674,1.0
,1.0,1.0,1.0,0.67,0.07,,,0.0,0.0,,,0.12,,,,0.6425486044692343,1.660964047443681,1.0,0.281133755571806,1.0
,1.0,1.0,1.0,1.0,0.44,,,0.0,0.0,,,0.0,,,,0.31425499492094006,1.0479516371446924,1.660964047443681,0.27829679612155045,1.0
,0.2,0.2,0.75,0.6,0.85,,,0.0,0.2,,,0.1,0.0,,,1.0,1.0,1.0,1.0,0.0
,0.25,0.29,0.17,0.23,1.0,,,0.33,0.0,,,0.15,0.31,,,3.321928094887362,1.0,1.0,0.23506129100191508,0.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,,,,,1.660964047443681,0.5,1.0,0.17992896226062674,1.0
,0.07,0.0,0.12,0.08,1.0,,,0.14,0.12,,,,,,,1.0,1.0,1.0,0.17992896226062674,0.0
,0.07,0.0,0.22,0.2,0.38,,,0.0,0.11,,,0.07,0.13,,,1.430676558073393,1.660964047443681,3.321928094887362,2.095903274289385,0.0
,1.0,1.0,1.0,1.0,0.4,,,0.0,0.0,,,0.13,,,,1.660964047443681,1.660964047443681,1.660964047443681,0.27232389731632956,1.0
,1.0,1.0,1.0,0.25,0.68,,,0.33,0.33,,,0.67,0.82,,,0.3724609298866735,1.660964047443681,3.321928094887362,1.0,1.0
,1.0,1.0,1.0,1.0,0.86,,,0.0,0.0,,,0.0,0.08,,,1.660964047443681,1.660964047443681,1.660964047443681,0.30520728144191867,1.0
,1.0,1.0,1.0,0.15,0.08,,,0.0,0.0,,,0.14,0.14,,,1.660964047443681,1.660964047443681,1.0,0.8502741537276025,1.0
,0.24,0.33,0.2,0.08,0.44,,,0.44,0.2,,,,,,,3.321928094887362,1.660964047443681,1.0,0.32468539543941816,0.0
,1.0,1.0,1.0,,,,,0.0,0.0,,,,,,,0.31425499492094006,1.0479516371446924,0.5947986391060673,0.32155210753119634,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.11,0.11,,,0.24,0.24,,,0.4801262838945638,1.660964047443681,1.0,0.42513707686380126,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,0.08,0.08,,,1.0,1.0,1.0,0.27098831019089725,1.0
,0.08,0.33,0.14,0.18,1.0,,,0.0,0.14,,,0.0,0.0,,,1.1832946624549383,0.7153382790366964,3.321928094887362,0.27098831019089725,0.0
,0.14,0.0,0.0,0.0,0.8,,,0.25,0.11,,,,,,,0.7966397701969122,1.0479516371446924,1.0,0.3522554274768786,0.0
,1.0,1.0,1.0,0.4,0.4,,,0.12,0.12,,,,0.12,,,0.8304820237218405,1.0479516371446924,1.0,0.2687221488537494,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.17,0.17,,,,,,,0.42513707686380126,1.0479516371446924,1.0,0.7153382790366964,1.0
,0.25,0.12,0.27,0.25,1.0,,,0.18,0.25,,,0.15,0.14,,,0.9602525677891276,1.0,1.0,0.23506129100191508,0.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,,,,,0.38431089342012037,1.0,1.0,0.30070524430748996,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,0.09,0.09,,,0.5239758185723462,1.0,1.0,0.27098831019089725,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,0.07,0.07,,,0.4152410118609203,1.660964047443681,1.660964047443681,1.0479516371446924,1.0
,1.0,1.0,1.0,1.0,0.56,,,0.12,0.12,,,,,,,0.5,1.660964047443681,1.660964047443681,0.2957762153765198,1.0
,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,,,,,1.660964047443681,0.7153382790366964,1.0,0.28601042466596566,1.0
